beta_true,levels,x_noise,struct_noise,bootstrap,coverage,reject_up,reject_dn,reject_1,point_below_true,median_ci_width
1.0,6,0.0,0.0,naive,0.920,0.020,0.060,0.080,0.610,0.086
1.0,6,0.0,0.0,cluster,0.900,0.030,0.070,0.100,0.510,0.097
1.0,6,0.0,0.3,naive,0.420,0.210,0.370,0.580,0.540,0.159
1.0,6,0.0,0.3,cluster,0.930,0.050,0.020,0.070,0.440,0.544
1.0,6,0.1,0.0,naive,0.930,0.020,0.050,0.070,0.540,0.088
1.0,6,0.1,0.0,cluster,0.870,0.070,0.060,0.130,0.410,0.097
1.0,6,0.1,0.3,naive,0.480,0.230,0.290,0.520,0.570,0.170
1.0,6,0.1,0.3,cluster,0.860,0.090,0.050,0.140,0.450,0.448
1.0,10,0.0,0.0,naive,0.920,0.030,0.050,0.080,0.510,0.072
1.0,10,0.0,0.0,cluster,0.870,0.060,0.070,0.130,0.500,0.072
1.0,10,0.0,0.3,naive,0.470,0.220,0.310,0.530,0.570,0.148
1.0,10,0.0,0.3,cluster,0.890,0.040,0.070,0.110,0.510,0.385
1.0,10,0.1,0.0,naive,0.960,0.020,0.020,0.040,0.520,0.072
1.0,10,0.1,0.0,cluster,0.940,0.020,0.040,0.060,0.540,0.069
1.0,10,0.1,0.3,naive,0.490,0.330,0.180,0.510,0.410,0.146
1.0,10,0.1,0.3,cluster,0.940,0.010,0.050,0.060,0.540,0.393
1.0,16,0.0,0.0,naive,0.930,0.020,0.050,0.070,0.500,0.060
1.0,16,0.0,0.0,cluster,0.930,0.050,0.020,0.070,0.540,0.063
1.0,16,0.0,0.3,naive,0.510,0.190,0.300,0.490,0.520,0.131
1.0,16,0.0,0.3,cluster,0.930,0.040,0.030,0.070,0.450,0.300
1.0,16,0.1,0.0,naive,0.940,0.030,0.030,0.060,0.550,0.062
1.0,16,0.1,0.0,cluster,0.920,0.040,0.040,0.080,0.580,0.058
1.0,16,0.1,0.3,naive,0.470,0.280,0.250,0.530,0.460,0.129
1.0,16,0.1,0.3,cluster,0.960,0.020,0.020,0.040,0.490,0.323
1.0,24,0.0,0.0,naive,0.930,0.060,0.010,0.070,0.480,0.051
1.0,24,0.0,0.0,cluster,0.950,0.000,0.050,0.050,0.550,0.050
1.0,24,0.0,0.3,naive,0.590,0.220,0.190,0.410,0.460,0.117
1.0,24,0.0,0.3,cluster,0.860,0.060,0.080,0.140,0.510,0.261
1.0,24,0.1,0.0,naive,0.950,0.030,0.020,0.050,0.380,0.050
1.0,24,0.1,0.0,cluster,0.930,0.040,0.030,0.070,0.470,0.047
1.0,24,0.1,0.3,naive,0.560,0.260,0.180,0.440,0.450,0.113
1.0,24,0.1,0.3,cluster,0.940,0.040,0.020,0.060,0.550,0.252
1.3,6,0.0,0.0,naive,0.940,1.000,0.000,1.000,0.520,0.089
1.3,6,0.0,0.0,cluster,0.890,1.000,0.000,1.000,0.420,0.096
1.3,6,0.0,0.3,naive,0.500,0.960,0.000,0.960,0.460,0.157
1.3,6,0.0,0.3,cluster,0.920,0.580,0.000,0.580,0.490,0.539
1.3,6,0.1,0.0,naive,0.890,1.000,0.000,1.000,0.590,0.088
1.3,6,0.1,0.0,cluster,0.910,1.000,0.000,1.000,0.470,0.094
1.3,6,0.1,0.3,naive,0.440,0.930,0.020,0.950,0.550,0.156
1.3,6,0.1,0.3,cluster,0.890,0.670,0.000,0.670,0.450,0.506
1.3,10,0.0,0.0,naive,0.950,1.000,0.000,1.000,0.560,0.075
1.3,10,0.0,0.0,cluster,0.880,1.000,0.000,1.000,0.470,0.073
1.3,10,0.0,0.3,naive,0.550,0.970,0.000,0.970,0.510,0.143
1.3,10,0.0,0.3,cluster,0.880,0.820,0.000,0.820,0.510,0.372
1.3,10,0.1,0.0,naive,0.930,1.000,0.000,1.000,0.590,0.074
1.3,10,0.1,0.0,cluster,0.910,1.000,0.000,1.000,0.550,0.073
1.3,10,0.1,0.3,naive,0.620,0.950,0.000,0.950,0.580,0.148
1.3,10,0.1,0.3,cluster,0.890,0.740,0.000,0.740,0.530,0.383
1.3,16,0.0,0.0,naive,0.960,1.000,0.000,1.000,0.480,0.061
1.3,16,0.0,0.0,cluster,0.910,1.000,0.000,1.000,0.530,0.056
1.3,16,0.0,0.3,naive,0.540,0.990,0.000,0.990,0.540,0.124
1.3,16,0.0,0.3,cluster,0.910,0.890,0.000,0.890,0.530,0.320
1.3,16,0.1,0.0,naive,0.930,1.000,0.000,1.000,0.550,0.061
1.3,16,0.1,0.0,cluster,0.900,1.000,0.000,1.000,0.690,0.061
1.3,16,0.1,0.3,naive,0.630,0.970,0.000,0.970,0.460,0.135
1.3,16,0.1,0.3,cluster,0.940,0.940,0.000,0.940,0.430,0.294
1.3,24,0.0,0.0,naive,0.910,1.000,0.000,1.000,0.520,0.051
1.3,24,0.0,0.0,cluster,0.940,1.000,0.000,1.000,0.550,0.052
1.3,24,0.0,0.3,naive,0.560,0.990,0.000,0.990,0.470,0.112
1.3,24,0.0,0.3,cluster,0.900,0.920,0.000,0.920,0.500,0.258
1.3,24,0.1,0.0,naive,0.930,1.000,0.000,1.000,0.660,0.053
1.3,24,0.1,0.0,cluster,0.920,1.000,0.000,1.000,0.620,0.048
1.3,24,0.1,0.3,naive,0.500,1.000,0.000,1.000,0.450,0.111
1.3,24,0.1,0.3,cluster,0.950,0.940,0.000,0.940,0.460,0.265
