beta_true,levels,x_noise,struct_noise,bootstrap,coverage,reject_up,reject_dn,reject_1,point_below_true,median_ci_width
1.0,6,0.0,0.0,naive,0.960,0.020,0.020,0.040,0.580,0.084
1.0,6,0.0,0.0,cluster,0.920,0.020,0.060,0.080,0.420,0.102
1.0,6,0.0,0.3,naive,0.420,0.260,0.320,0.580,0.560,0.158
1.0,6,0.0,0.3,cluster,0.880,0.100,0.020,0.120,0.480,0.494
1.0,20,0.0,0.0,naive,0.860,0.100,0.040,0.140,0.480,0.055
1.0,20,0.0,0.0,cluster,0.920,0.040,0.040,0.080,0.440,0.053
1.0,20,0.0,0.3,naive,0.560,0.300,0.140,0.440,0.380,0.121
1.0,20,0.0,0.3,cluster,0.880,0.080,0.040,0.120,0.500,0.303
1.3,6,0.0,0.0,naive,0.880,1.000,0.000,1.000,0.560,0.086
1.3,6,0.0,0.0,cluster,0.900,1.000,0.000,1.000,0.460,0.096
1.3,6,0.0,0.3,naive,0.620,0.940,0.000,0.940,0.520,0.158
1.3,6,0.0,0.3,cluster,0.960,0.520,0.000,0.520,0.440,0.537
1.3,20,0.0,0.0,naive,0.980,1.000,0.000,1.000,0.460,0.055
1.3,20,0.0,0.0,cluster,0.920,1.000,0.000,1.000,0.500,0.051
1.3,20,0.0,0.3,naive,0.580,1.000,0.000,1.000,0.480,0.122
1.3,20,0.0,0.3,cluster,0.900,0.920,0.000,0.920,0.400,0.282
