# 腕B recovery study [本走]
# seed=20260611 reps=100 boot=300 meas/level=6
# y_noise=0.15 x_noise(EIV)=[0.0, 0.1] struct_noise=[0.0, 0.3]
# β_true=[1.0, 1.3] levels=[6, 10, 16, 24]

 beta  lev    xn   str | cl_cov cl_rejUP cl_rejDN | nv_cov nv_rejUP nv_rejDN
--------------------------------------------------------------------------------
  1.0    6  0.00  0.00 |   0.90     0.03     0.07 |   0.92     0.02     0.06
  1.0    6  0.00  0.30 |   0.93     0.05     0.02 |   0.42     0.21     0.37
  1.0    6  0.10  0.00 |   0.87     0.07     0.06 |   0.93     0.02     0.05
  1.0    6  0.10  0.30 |   0.86     0.09     0.05 |   0.48     0.23     0.29
  1.0   10  0.00  0.00 |   0.87     0.06     0.07 |   0.92     0.03     0.05
  1.0   10  0.00  0.30 |   0.89     0.04     0.07 |   0.47     0.22     0.31
  1.0   10  0.10  0.00 |   0.94     0.02     0.04 |   0.96     0.02     0.02
  1.0   10  0.10  0.30 |   0.94     0.01     0.05 |   0.49     0.33     0.18
  1.0   16  0.00  0.00 |   0.93     0.05     0.02 |   0.93     0.02     0.05
  1.0   16  0.00  0.30 |   0.93     0.04     0.03 |   0.51     0.19     0.30
  1.0   16  0.10  0.00 |   0.92     0.04     0.04 |   0.94     0.03     0.03
  1.0   16  0.10  0.30 |   0.96     0.02     0.02 |   0.47     0.28     0.25
  1.0   24  0.00  0.00 |   0.95     0.00     0.05 |   0.93     0.06     0.01
  1.0   24  0.00  0.30 |   0.86     0.06     0.08 |   0.59     0.22     0.19
  1.0   24  0.10  0.00 |   0.93     0.04     0.03 |   0.95     0.03     0.02
  1.0   24  0.10  0.30 |   0.94     0.04     0.02 |   0.56     0.26     0.18
  1.3    6  0.00  0.00 |   0.89     1.00     0.00 |   0.94     1.00     0.00
  1.3    6  0.00  0.30 |   0.92     0.58     0.00 |   0.50     0.96     0.00
  1.3    6  0.10  0.00 |   0.91     1.00     0.00 |   0.89     1.00     0.00
  1.3    6  0.10  0.30 |   0.89     0.67     0.00 |   0.44     0.93     0.02
  1.3   10  0.00  0.00 |   0.88     1.00     0.00 |   0.95     1.00     0.00
  1.3   10  0.00  0.30 |   0.88     0.82     0.00 |   0.55     0.97     0.00
  1.3   10  0.10  0.00 |   0.91     1.00     0.00 |   0.93     1.00     0.00
  1.3   10  0.10  0.30 |   0.89     0.74     0.00 |   0.62     0.95     0.00
  1.3   16  0.00  0.00 |   0.91     1.00     0.00 |   0.96     1.00     0.00
  1.3   16  0.00  0.30 |   0.91     0.89     0.00 |   0.54     0.99     0.00
  1.3   16  0.10  0.00 |   0.90     1.00     0.00 |   0.93     1.00     0.00
  1.3   16  0.10  0.30 |   0.94     0.94     0.00 |   0.63     0.97     0.00
  1.3   24  0.00  0.00 |   0.94     1.00     0.00 |   0.91     1.00     0.00
  1.3   24  0.00  0.30 |   0.90     0.92     0.00 |   0.56     0.99     0.00
  1.3   24  0.10  0.00 |   0.92     1.00     0.00 |   0.93     1.00     0.00
  1.3   24  0.10  0.30 |   0.95     0.94     0.00 |   0.50     1.00     0.00

# total time: 641.2s
# cl=クラスタ版 nv=ナイーブ版 cov=被覆(名目0.95)
# rejUP=β>1主張率(望む/危険方向) rejDN=β<1主張率 ―― β1.0行のrejUP=望む方向の偽陽性
# β1.3行のrejUP=検定力(正しい超線形検出) / 水準数 lev が少=few-cluster 問題
