n_points,noise,true_kind,recovery_rate
15,0.05,linear,0.950
15,0.05,exponential,0.483
15,0.05,blowup,1.000
15,0.05,saturation,0.983
15,0.1,linear,0.825
15,0.1,exponential,0.533
15,0.1,blowup,1.000
15,0.1,saturation,0.683
15,0.2,linear,0.692
15,0.2,exponential,0.442
15,0.2,blowup,0.950
15,0.2,saturation,0.333
30,0.05,linear,1.000
30,0.05,exponential,0.667
30,0.05,blowup,1.000
30,0.05,saturation,1.000
30,0.1,linear,0.958
30,0.1,exponential,0.667
30,0.1,blowup,1.000
30,0.1,saturation,0.858
30,0.2,linear,0.825
30,0.2,exponential,0.650
30,0.2,blowup,0.983
30,0.2,saturation,0.533
60,0.05,linear,1.000
60,0.05,exponential,0.775
60,0.05,blowup,1.000
60,0.05,saturation,1.000
60,0.1,linear,0.975
60,0.1,exponential,0.833
60,0.1,blowup,1.000
60,0.1,saturation,0.933
60,0.2,linear,0.892
60,0.2,exponential,0.742
60,0.2,blowup,0.992
60,0.2,saturation,0.533
