n_points,noise_frac,true_kind,recovery_rate
15,0.02,linear,1.000
15,0.02,exponential,0.780
15,0.02,blowup,0.000
15,0.02,saturation,1.000
15,0.05,linear,0.985
15,0.05,exponential,0.715
15,0.05,blowup,0.000
15,0.05,saturation,0.985
15,0.1,linear,0.870
15,0.1,exponential,0.725
15,0.1,blowup,0.000
15,0.1,saturation,0.715
15,0.2,linear,0.700
15,0.2,exponential,0.720
15,0.2,blowup,0.000
15,0.2,saturation,0.395
30,0.02,linear,1.000
30,0.02,exponential,0.815
30,0.02,blowup,0.000
30,0.02,saturation,1.000
30,0.05,linear,0.990
30,0.05,exponential,0.820
30,0.05,blowup,0.000
30,0.05,saturation,1.000
30,0.1,linear,0.925
30,0.1,exponential,0.850
30,0.1,blowup,0.000
30,0.1,saturation,0.870
30,0.2,linear,0.800
30,0.2,exponential,0.795
30,0.2,blowup,0.000
30,0.2,saturation,0.460
60,0.02,linear,1.000
60,0.02,exponential,0.860
60,0.02,blowup,0.000
60,0.02,saturation,1.000
60,0.05,linear,1.000
60,0.05,exponential,0.870
60,0.05,blowup,0.000
60,0.05,saturation,1.000
60,0.1,linear,0.975
60,0.1,exponential,0.850
60,0.1,blowup,0.000
60,0.1,saturation,0.965
60,0.2,linear,0.890
60,0.2,exponential,0.845
60,0.2,blowup,0.000
60,0.2,saturation,0.610
